CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;DT_VALIDADE;CD_UNI_PRO;DS_UNIDADE
681036;1500;M100;2021-11-30;48872;CP5MG
682742;1500;M100;2021-11-30;48872;CP5MG
681262;1500;M100;2021-11-30;48872;CP5MG
683390;1500;M100;2021-11-30;48872;CP5MG
755011;1500;M137;2021-11-30;48872;CP5MG
688763;1500;M137;2021-11-30;48872;CP5MG
690172;1500;M137;2021-11-30;48872;CP5MG
688813;1500;M137;2021-11-30;48872;CP5MG
818310;1500;M138;2021-11-30;48872;CP5MG
755010;1500;M138;2021-11-30;48872;CP5MG
710030;1500;M138;2021-11-30;48872;CP5MG
687360;1500;M138;2021-11-30;48872;CP5MG
686045;1500;M138;2021-11-30;48872;CP5MG
686543;1500;M138;2021-11-30;48872;CP5MG
686059;1500;M138;2021-11-30;48872;CP5MG
687351;1500;M138;2021-11-30;48872;CP5MG
686511;1500;M138;2021-11-30;48872;CP5MG
687346;1500;M138;2021-11-30;48872;CP5MG
702737;1500;M138;2021-11-30;48872;CP5MG
702550;1500;M138;2021-11-30;48872;CP5MG
687955;1500;M138;2021-11-30;48872;CP5MG
686625;1500;M138;2021-11-30;48872;CP5MG
698555;1500;M138;2021-11-30;48872;CP5MG
696659;1500;M138;2021-11-30;48872;CP5MG
738957;1500;M280;2021-12-30;48872;CP5MG
734242;1500;M280;2021-12-30;48872;CP5MG
728407;1500;M280;2021-12-30;48872;CP5MG
755013;1500;M280;2021-12-30;48872;CP5MG
692373;1500;M280;2021-12-30;48872;CP5MG
696917;1500;M280;2021-12-30;48872;CP5MG
692346;1500;M280;2021-12-30;48872;CP5MG
703744;1500;M280;2021-12-30;48872;CP5MG
703892;1500;M280;2021-12-30;48872;CP5MG
692641;1500;M280;2021-12-30;48872;CP5MG
692303;1500;M280;2021-12-30;48872;CP5MG
693067;1500;M280;2021-12-30;48872;CP5MG
692301;1500;M280;2021-12-30;48872;CP5MG
697057;1500;M280;2021-12-30;48872;CP5MG
729014;1500;M361;2022-01-30;48872;CP5MG
734033;1500;M361;2022-01-30;48872;CP5MG
755014;1500;M361;2022-01-30;48872;CP5MG
715549;1500;M361;2022-01-30;48872;CP5MG
715214;1500;M361;2022-01-30;48872;CP5MG
710674;1500;M361;2022-01-30;48872;CP5MG
700949;1500;M361;2022-01-30;48872;CP5MG
700950;1500;M361;2022-01-30;48872;CP5MG
701215;1500;M361;2022-01-30;48872;CP5MG
697895;1500;M361;2022-01-30;48872;CP5MG
718653;1500;M372;2022-01-30;48872;CP5MG
719770;1500;M372;2022-01-30;48872;CP5MG
792858;1500;M372;2022-01-31;48872;CP5MG
737580;1500;M372;2022-01-31;48872;CP5MG
755016;1500;M372;2022-01-31;48872;CP5MG
718558;1500;M372;2022-01-31;48872;CP5MG
724680;1500;M372;2022-01-31;48872;CP5MG
718530;1500;M372;2022-01-31;48872;CP5MG
739211;1500;M373;2022-01-30;48872;CP5MG
755015;1500;M373;2022-01-30;48872;CP5MG
733355;1500;M373;2022-01-30;48872;CP5MG
724297;1500;M373;2022-01-30;48872;CP5MG
719879;1500;M373;2022-01-30;48872;CP5MG
704871;1500;M373;2022-01-30;48872;CP5MG
735985;1500;M692;2022-04-30;48872;CP5MG
742268;1500;M692;2022-04-30;48872;CP5MG
737382;1500;M692;2022-04-30;48872;CP5MG
