CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;CD_UNI_PRO;DT_VALIDADE;DS_UNIDADE
731957;75313;20090142;64248;30/09/2022;FR100MG
736983;75313;20070084;64248;30/07/2022;FR100MG
754175;75313;20120274;64248;30/12/2022;FR100MG
754174;75313;20120243;64248;30/12/2022;FR100MG
756475;75313;21010712;64248;30/01/2023;FR100MG
747322;75313;20090142;64248;30/09/2022;FR100MG
744885;75313;20080682;64248;30/08/2022;FR100MG
754433;75313;21010711;64248;30/01/2023;FR100MG
754259;75313;20120275;64248;30/12/2022;FR100MG
751349;75313;20110012;64248;30/11/2022;FR100MG
740307;75313; 20090356;64248;30/09/2022;FR100MG
752965;75313;20110415;64248;30/11/2022;FR100MG
755388;75313;20120244;64248;30/12/2022;FR100MG
758053;75313;21010711;64248;30/01/2023;FR100MG
753780;75313;20120274;64248;30/12/2022;FR100MG
757406;75313;21010711;64248;30/01/2023;FR100MG
749108;75313;20100606;64248;30/10/2022;FR100MG
753352;75313;20110012;64248;30/11/2022;FR100MG
753351;75313;20080682;64248;30/08/2022;FR100MG
713178;75313;20070772;64248;30/07/2022;FR100MG
707967;75313;20070078;64248;30/07/2022;FR100MG
709917;75313;20070084;64248;30/07/2022;FR100MG
708441;75313;20061041;64248;30/06/2022;FR100MG
708552;75313;20070084;64248;30/07/2022;FR100MG
710275;75313;20070772;64248;30/07/2022;FR100MG
708713;75313;20070084;64248;30/07/2022;FR100MG
707867;75313;20061041;64248;30/06/2022;FR100MG
716160;75313;20070387;64248;30/07/2022;FR100MG
724671;75313;20070097;64248;30/07/2022;FR100MG
712709;75313;19100467;64248;30/10/2021;FR100MG
706558;75313;20061053;64248;30/06/2022;FR100MG
699254;75313;20050353;64248;30/05/2022;FR100MG
695451;75313;19100467;64248;30/10/2021;FR100MG
695442;75313;20020413;64248;28/02/2022;FR100MG
690153;75313;20020413;64248;28/02/2022;FR100MG
701649;75313;20050112;64248;31/05/2022;FR100MG
706579;75313;20061053;64248;30/06/2022;FR100MG
686225;75313;19100472;64248;30/10/2021;FR100MG
703897;75313;20061041;64248;30/06/2022;FR100MG
703398;75313;20061041;64248;30/06/2022;FR100MG
705100;75313;20050352;64248;30/05/2022;FR100MG
696435;75313;20050112;64248;31/05/2022;FR100MG
685926;75313;19100467;64248;30/10/2021;FR100MG
